"C:\Users\technopc\Downloads\VolatilityWorkbench\vol.exe" -f "C:\Users\technopc\Desktop\volatility3\20240516.mem" windows.devicetree.DeviceTree 
Volatility 3 Framework 2.5.0
Offset	Type	DriverName	DeviceName	DriverNameOfAttDevice	DeviceType
* 0xe785a44a9d50	DEV	partmgr	-	N/A	FILE_DEVICE_DISK
0xe785a44aad50	DRV	vsock	N/A	N/A	N/A
* 0xe785a44aad50	DEV	vsock	vmci	N/A	FILE_DEVICE_UNKNOWN
0xe785a44bae30	DRV	ws2ifsl	N/A	N/A	N/A
* 0xe785a44bae30	DEV	ws2ifsl	WS2IFSL	N/A	FILE_DEVICE_NAMED_PIPE
0xe785a44c6c90	DRV	NdisCap	N/A	N/A	N/A
0xe785a44c8c90	DRV	NetBIOS	N/A	N/A	N/A
* 0xe785a44c8c90	DEV	NetBIOS	Netbios	N/A	FILE_DEVICE_TRANSPORT
0xe785a44f3d50	DRV	pdc	N/A	N/A	N/A
* 0xe785a44f3d50	DEV	pdc	-	N/A	FILE_DEVICE_UNKNOWN
0xe785a44f8d50	DRV	vdrvroot	N/A	N/A	N/A
* 0xe785a44f8d50	DEV	vdrvroot	-	N/A	FILE_DEVICE_BUS_EXTENDER
0xe785a44fbd50	DRV	Fs_Rec	N/A	N/A	N/A
Traceback (most recent call last):
* 0xe785a44fbd50	DEV	Fs_Rec	CdfsRecognizer	N/A	FILE_DEVICE_CD_ROM_FILE_SYSTEM
0xe785a4609e20	DRV	TPM	N/A	N/A	N/A
  File "vol.py", line 10, in <module>
* 0xe785a4609e20	DEV	TPM	-	N/A	FILE_DEVICE_UNKNOWN
0xe785a460ae20	DRV	RAW	N/A	N/A	N/A
  File "volatility3\cli\__init__.py", line 790, in main
  File "volatility3\cli\__init__.py", line 447, in run
  File "volatility3\cli\text_renderer.py", line 193, in render
  File "volatility3\framework\renderers\__init__.py", line 247, in populate
  File "volatility3\cli\text_renderer.py", line 188, in visitor
  File "encodings\cp1254.py", line 19, in encode
* 0xe785a460ae20	DEV	RAW	RawTape	N/A	FILE_DEVICE_TAPE_FILE_SYSTEM
0xe785a460dd10	DRV	vmci	N/A	N/A	N/A
UnicodeEncodeError: 'charmap' codec can't encode characters in position 19-39: character maps to <undefined>
[1180] Failed to execute script 'vol' due to unhandled exception!
* 0xe785a460dd10	DEV	vmci	VMCIHostDev	N/A	FILE_DEVICE_CONTROLLER
0xe785a460fe20	DRV	pcw	N/A	N/A	N/A
* 0xe785a460fe20	DEV	pcw	PcwDrv	N/A	FILE_DEVICE_UNKNOWN
0xe785a463ccf0	DRV	mountmgr	N/A	N/A	N/A
* 0xe785a463ccf0	DEV	mountmgr	MountPointManager	N/A	FILE_DEVICE_NETWORK
0xe785a463e980	DRV	storahci	N/A	N/A	N/A
* 0xe785a463e980	DEV	storahci	00000053	N/A	FILE_DEVICE_DISK
** 0xe785a463e980	ATT	storahci	DR0	\Driver\disk	FILE_DEVICE_DISK
*** 0xe785a463e980	ATT	storahci	-	\Driver\partmgr	FILE_DEVICE_DISK
0xe785a463e9a0	DRV	storahci	N/A	N/A	N/A
* 0xe785a463e9a0	DEV	storahci	-	N/A	UNKNOWN
0xe785a4680da0	DRV	spaceport	N/A	N/A	N/A
* 0xe785a4680da0	DEV	spaceport	Spaceport	N/A	FILE_DEVICE_CONTROLLER
0xe785a468b410	DRV	KSecDD	N/A	N/A	N/A
* 0xe785a468b410	DEV	KSecDD	KsecDD	N/A	FILE_DEVICE_KSEC
0xe785a468b860	DRV	FltMgr	N/A	N/A	N/A
* 0xe785a468b860	DEV	FltMgr	-	N/A	FILE_DEVICE_DISK_FILE_SYSTEM
0xe785a46ae830	DRV	CLFS	N/A	N/A	N/A
* 0xe785a46ae830	DEV	CLFS	clfs	N/A	FILE_DEVICE_DISK_FILE_SYSTEM
0xe785a46b7e30	DRV	HidUsb	N/A	N/A	N/A
* 0xe785a46b7e30	DEV	HidUsb	000000a3	N/A	FILE_DEVICE_UNKNOWN
0xe785a46b96e0	DRV	NDIS	N/A	N/A	N/A
* 0xe785a46b96e0	DEV	NDIS	lwm	N/A	FILE_DEVICE_NETWORK
0xe785a46b96f0	DRV		N/A	N/A	N/A
* 0xe785a46b96f0	DEV		-	N/A	UNKNOWN
0xe785a46cdb90	DRV	FileInfo	N/A	N/A	N/A
* 0xe785a46cdb90	DEV	FileInfo	FileInfo	N/A	FILE_DEVICE_UNKNOWN
0xe785a46cee00	DRV	Wof	N/A	N/A	N/A
0xe785a46d05c0	DRV	WdFilter	N/A	N/A	N/A
0xe785a46d4af0	DRV	Ntfs	N/A	N/A	N/A
* 0xe785a46d4af0	DEV	Ntfs	-	N/A	FILE_DEVICE_DISK_FILE_SYSTEM
** 0xe785a46d4af0	ATT	Ntfs	-	\FileSystem\FltMgr	FILE_DEVICE_DISK_FILE_SYSTEM
0xe785a46dfa70	DRV	Tcpip	N/A	N/A	N/A
* 0xe785a46dfa70	DEV	Tcpip	eQoS	N/A	FILE_DEVICE_NETWORK
0xe785a472cd60	DRV	KSecPkg	N/A	N/A	N/A
0xe785a472daf0	DRV	amdpsp	N/A	N/A	N/A
* 0xe785a472daf0	DEV	amdpsp	amdpsp	N/A	FILE_DEVICE_UNKNOWN
0xe785a4738b80	DRV	fse	N/A	N/A	N/A
* 0xe785a4738b80	DEV	fse	FseIoDevice	N/A	FILE_DEVICE_NETWORK
0xe785a477ed70	DRV	rdyboost	N/A	N/A	N/A
* 0xe785a477ed70	DEV	rdyboost	RdyBoost	N/A	FILE_DEVICE_UNKNOWN
0xe785a478d8f0	DRV	VMSNPXY	N/A	N/A	N/A
* 0xe785a478d8f0	DEV	VMSNPXY	VmsNicProxy	N/A	FILE_DEVICE_NETWORK
0xe785a4796e20	DRV	volume	N/A	N/A	N/A
* 0xe785a4796e20	DEV	volume	-	N/A	FILE_DEVICE_DISK
0xe785a47fddc0	DRV	volsnap	N/A	N/A	N/A
* 0xe785a47fddc0	DEV	volsnap	HarddiskVolumeShadowCopy1	N/A	FILE_DEVICE_VIRTUAL_DISK
0xe785a48194f0	DRV	vpcivsp	N/A	N/A	N/A
* 0xe785a48194f0	DEV	vpcivsp	-	N/A	FILE_DEVICE_UNKNOWN
0xe785a481f280	DRV	WFPLWFS	N/A	N/A	N/A
* 0xe785a481f280	DEV	WFPLWFS	WFPL2DPConfig	N/A	FILE_DEVICE_NETWORK

0xe785a484be30	DRV	fvevol	N/A	N/A	N/A
* 0xe785a484be30	DEV	fvevol	-	N/A	FILE_DEVICE_DISK
** 0xe785a484be30	ATT	fvevol	-	\Driver\volume	FILE_DEVICE_DISK
0xe785a484ebc0	DRV	VmsProxy	N/A	N/A	N/A
* 0xe785a484ebc0	DEV	VmsProxy	VmSwitch	N/A	FILE_DEVICE_UNKNOWN
0xe785a4869b00	DRV	disk	N/A	N/A	N/A
* 0xe785a4869b00	DEV	disk	DR1	N/A	FILE_DEVICE_DISK
** 0xe785a4869b00	ATT	disk	-	\Driver\partmgr	FILE_DEVICE_DISK

Time Stamp: Thu May 16 15:29:36 2024


******* End of command output ******

